Id,Description,Expense_Type,Amount,Date
1,Lidle,Food,30.63,2025-12-14
2,Iper,Grocery,98.28,2025-12-31
3,iper,Grocery,14.59,2025-12-14
4,Lidle,Grocery,27.79,2025-12-07
5,Lidle,Grocery,99.02,2025-12-01
6,Coop,Grocery,17.05,2025-12-01
7,Euro-Spin ,Grocery,33.48,2025-12-19
8,Euro-spin,Grocery,21.41,2025-12-08
9,Iper,Grocery,6.07,2025-12-08
10,Farmacia Bertolini,Medicine,25.45,2025-12-17
11,coop,Grocery,30.52,2025-12-17
